"id","ib_var_1","ib_var_2","ib_var_3","ib_var_4","ib_var_5","ib_var_6","ib_var_11","ib_var_12","ib_var_13","ib_var_14","ib_var_15","ib_var_16","ib_var_17","ib_var_18","ib_var_19","ib_var_20","ib_var_21","icn_var_22","icn_var_23","icn_var_24","ico_var_25","ico_var_26","ico_var_27","ico_var_28","ico_var_29","ico_var_30","ico_var_31","ico_var_32","ico_var_33","ico_var_34","ico_var_35","ico_var_36","ico_var_37","ico_var_38","ico_var_39","ico_var_40","ico_var_41","ico_var_42","ico_var_43","ico_var_44","ico_var_45","ico_var_46","ico_var_47","ico_var_48","ico_var_49","ico_var_50","ico_var_51","ico_var_52","ico_var_53","ico_var_54","ico_var_55","ico_var_56","ico_var_57","ico_var_58","ico_var_59","ico_var_60","ico_var_61","ico_var_62","ico_var_63","ico_var_64","if_var_65","if_var_66","if_var_67","if_var_68","if_var_69","if_var_70","if_var_71","if_var_72","if_var_73","if_var_74","if_var_75","if_var_76","if_var_77","if_var_78","if_var_79","if_var_80","if_var_81","pred"
1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,4,1,1,4,4,4,4,4,3,4,4,1,0,0,0,4,4,2,3,3,4,4,4,2,4,2,4,2,2,2,4,2,4,4,4,2,3,2,2,2,2,3,2,43,100,8,7196,5140,1,4,5,0.774999976,1,10,11,0.666666687,1,5140,0.666666687,3,0
2,0,1,0,0,1,5,0,1,0,1,1,1,1,0,0,1,0,4,25,4,4,3,4,4,4,4,3,4,1,0,0,0,3,3,3,3,3,3,4,4,3,4,3,4,1,3,3,3,3,3,1,2,2,2,1.5,1,1,3,2,2,31,100,6,514,5140,1,1,6,0.75,0,8,10,0.600000024,12.9024,5140,0.733333349,0,0
3,1,1,0,0,1,5,0,1,1,0,1,1,1,0,1,1,1,4,1,1,4,4,4,3,4,3,3,4,1,11,23,9,3,3,4,3,4,4,4,5,2,4,4,4,1,3,2,2,2,4,3,2,2,4,1,0.5,1.5,3,2,2,28,100,5,1028,6168,2,6,7,0.725000024,0,8,6,0.699999988,1,2570,0.766666651,1,0
4,1,0,0,1,1,5,0,1,0,1,1,0,1,0,1,0,1,4,25,4,4,5,5,5,5,5,4,4,1,14,10,1,4,4,2,4,1,2,5,5,3,5,4,3,2,1,3,3,1,4,3,1,1,4,0.666666666666667,0.333333333333333,0.666666666666667,4,1,1,27,100,5,411.2000122,2570,1,3,4,0.925000012,2,7,5,0.566666663,15.5366,2056,0.833333313,0,0
5,0,1,0,1,1,5,0,1,1,1,1,0,0,1,0,0,0,4,1,4,4,5,4,4,5,5,5,5,1,13,14,13,3,1,1,1,2,2,5,4,1,5,3,1,1,1,1,2,1,3,1,2,1,2,Inf,Inf,Inf,1,1,1,34,100,6,616.7999878,5140,3,1,5,0.925000012,0,10,7,0.333333343,17.8293,4728.799805,0.633333325,2,NA
6,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,4,1,9,4,4,3,4,4,3,4,4,7,13,23,7,4,4,2,4,2,4,4,4,2,4,2,4,2,2,3,4,2,4,2,3,2,4,0.666666666666667,0.666666666666667,0.666666666666667,4,2,2,36,100,12,6168,6168,1,1,7,0.75,2,7,7,0.666666687,8.6829,1542,0.666666687,3,0
7,1,1,0,0,0,5,0,1,0,0,1,1,1,0,1,1,1,4,25,4,3,3,3,4,3,3,3,3,1,7,14,1,4,3,2,3,2,4,4,3,3,4,2,4,2,2,2,2,3,4,3,2,2,3,1,0.666666666666667,1,4,3,3,23,100,6,8738,9252,1,5,4,0.625,2,6,7,0.600000024,12.7805,3598,0.666666687,0,0
8,1,1,0,0,1,5,0,1,0,1,1,0,1,0,1,0,1,4,1,4,4,4,4,4,4,4,2,4,1,5,10,5,4,3,2,3,2,3,4,3,3,4,2,2,2,2,3,2,4,2,4,4,2,2,2,1,0.5,3,2,2,28,100,10,1028,3084,1,4,4,0.75,1,7,8,0.566666663,10.0732,1542,0.600000024,1,0
9,1,0,0,0,1,5,0,1,0,1,1,1,1,1,1,1,0,9,25,9,4,5,5,1,5,2,4,5,7,7,19,7,3,4,2,1,4,1,5,5,1,5,3,1,2,5,4,1,5,3,1,2,1,3,Inf,Inf,Inf,1,2,1,30,100,5,205.6000061,925.2000122,1,1,2,0.774999976,5,4,3,0.5,1,1028,0.666666687,0,NA
10,1,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,5,5,4,5,5,5,5,4,1,9,23,1,4,4,1,3,2,4,4,4,2,5,3,4,1,1,4,4,2,4,3,1,2,4,0.333333333333333,0.666666666666667,0.666666666666667,4,2,1,43,100,7,8738,10280,1,4,5,0.949999988,1,6,4,0.600000024,15.8293,5140,0.733333349,3,0
11,1,0,0,1,1,5,0,1,0,1,0,1,1,1,1,0,0,4,1,4,4,3,5,5,4,5,4,5,9,17,9,9,4,2,4,2,4,2,4,2,3,5,2,4,1,2,4,4,2,4,1,2,2,2,0.666666666666667,0.666666666666667,0.333333333333333,4,2,2,39,100,14,616.7999878,12027.59961,1,2,3,0.875,4,4,6,0.600000024,1,4112,0.666666687,1,0
12,1,1,0,0,1,5,0,1,0,1,1,1,1,0,1,1,1,4,1,4,5,5,5,5,4,3,5,4,5,17,7,5,4,2,4,2,4,1,5,4,2,4,2,1,1,1,1,2,2,2,2,2,2,4,Inf,Inf,Inf,1,2,2,44,100,12,411.2000122,10280,1,4,4,0.899999976,0,6,8,0.566666663,1,5140,0.600000024,1,NA
13,1,0,0,0,1,0,0,1,0,1,1,1,0,0,1,1,0,4,1,4,4,4,4,3,3,3,4,2,9,11,9,9,3,2,2,4,4,3,4,5,4,3,4,4,3,2,4,4,3,4,3,3,3,4,1.33333333333333,0.666666666666667,1,4,3,2,42,100,6,1028,9252,2,6,5,0.675000012,0,7,3,0.600000024,1,5140,0.800000012,3,0
14,1,0,0,0,1,0,0,1,0,1,1,1,1,0,1,1,1,9,25,9,5,5,4,5,4,5,5,5,17,13,23,17,3,1,1,1,3,2,5,4,2,5,3,4,1,1,1,4,1,4,2,2,2,2,0.333333333333333,0.333333333333333,0.333333333333333,4,3,1,31,100,8,1542,2056,1,5,6,0.949999988,0,5,8,0.366666675,1,2570,0.766666651,0,0
15,1,0,0,0,0,5,0,1,0,0,1,0,1,1,1,0,0,4,1,4,5,4,4,4,4,2,4,4,9,17,13,9,4,4,2,4,4,4,4,4,2,4,2,2,2,2,2,4,4,4,4,2,2,4,2,2,2,2,2,2,40,100,15,6168,30840,1,3,2,0.774999976,0,12,13,0.733333349,1,1028,0.600000024,1,0
16,1,1,0,0,0,5,0,1,0,0,1,1,1,0,1,1,1,9,1,4,5,5,4,5,4,5,2,2,1,7,16,9,4,4,4,3,3,4,4,5,2,5,4,5,1,1,3,3,2,4,2,1,2,4,0.25,0.75,0.25,5,1,1,30,100,9,1542,4112,1,5,5,0.800000012,1,6,3,0.733333349,18.4878,5140,0.833333313,0,0
17,0,0,0,0,1,5,0,1,1,1,1,1,1,1,1,1,0,4,1,1,4,4,3,4,4,3,5,4,13,11,23,13,3,3,3,2,3,2,4,4,3,4,3,3,3,2,2,2,3,2,2,4,2,2,1,1,1.5,3,3,2,32,100,10,3084,10280,3,3,1,0.774999976,0,6,9,0.533333361,5.8537,5140,0.699999988,1,0
18,1,0,0,1,1,5,0,1,0,1,1,0,1,1,1,0,0,9,1,1,5,4,4,5,4,5,4,4,13,11,23,13,4,5,4,4,4,5,5,5,4,5,4,5,2,2,2,4,2,4,2,1,1,4,1,0.5,0.75,5,4,2,44,100,13,1028,2056,2,4,4,0.875,0,4,4,0.866666675,15.4146,3084,0.933333337,1,0
